"userName","score","at","content"
"Agus Salim","5","31/01/2022 23:42","Mantap, sangat membantu ????"
"Iman Rohiman","5","31/01/2022 23:38","Semoga indonesia cepat terbebas dari pandemi covid 19... aamiin..."
"Tajudin Yeah","5","31/01/2022 23:32","Sangat akurat Dan mudah"
"Ibu sriyono","4","31/01/2022 23:32","??"
"Mohammad Turyaman","4","31/01/2022 23:23","Tiba tiba saya tidak bisa masuk ke aplikasi peduli lindungi? Mohon masukan"
"Zainal Arifin","5","31/01/2022 23:18","Ok"
"Om Husein Chanel","1","31/01/2022 23:14","Aplikasinya tambah ribet wktu pengin cek sertifikat vaksin, terutana chapta dan tanggal lahir"
"Bubun Namaku","5","31/01/2022 23:12","Bermanfaat"
"Zahra Ilham","5","31/01/2022 23:11","Ppp"
"Adiba Syakilla","5","31/01/2022 23:05","Alkhamdulilah sangat membantu sekali"
"Abdus somad","1","31/01/2022 23:04","Andus salam"
"Anto Bugis","5","31/01/2022 23:04","??"
"Ilek Tapian","1","31/01/2022 23:03","Saya sudah lama daftar tapi kok gagal terus,ada apa???mau dikasih bintang berapa datar aja GK bisa,,boro2"
"Khoiruddin Harahap","5","31/01/2022 22:58","Maju dan Sukses Jaya Kemenkes RI beserta seluruh jajaranya wa bil khusus Seluruh Petugas Garda Depan Covid-19 yang telah bertugas.."
"Revy Treninet","5","31/01/2022 22:52","Mantap"
"Dimas Anugrah","1","31/01/2022 22:48","saya kasih bintang 1, aplikasinya lain kali kalo ngesetting gps yang pas jangan buka gmaps dulu baru bisa akurat, kerja 2 kali dong kita semua sebagai user app"
"Ani Kurniani","5","31/01/2022 22:33","Pedulilindung sy suka bs ngecek hasil Faksin sy dan sekeluarga. jd tdk ush repot2 ut tau ato tanya ke lokasi faksin. mudah di telusuri. trmksih"
"Ahmad Affandi","5","31/01/2022 22:24","Mantaappp"
"Leni Kartika Sari","5","31/01/2022 22:16","Baik"
"Dar To","5","31/01/2022 22:15","Bersama dengan aplikasi ini kita bisa menghilangkan covid 19 ayo kita dounloud aplikasi peduliLindung"
"achmad qomar","5","31/01/2022 22:09","Bagus"
"Bambang Waluyo","5","31/01/2022 22:06","Ok"
"agung purnomo","5","31/01/2022 22:06","Praktis"
"Eni Kurniawan","1","31/01/2022 21:52","Mau di update kok loading muter2 trs slma 2 hari.Pdhl saya mau masukkan data anak saya.Kl sdh ky gni gmn??!!"
"Syahrul #MOTOVLOGNRC","5","31/01/2022 21:36","Mantapp"
"Nur Ali","5","31/01/2022 21:30","Bagusss...."
"kasiyat diro","5","31/01/2022 21:16","Sekarang sudah lebih bagus"
"Tony Orba","1","31/01/2022 21:10","Sulit Masuk"
"Munti Ani","5","31/01/2022 20:58","Baguss"
"Adita Denz","4","31/01/2022 20:44","Mengecewakan....hapuuuusss"
"Anisa Nurhasanah","5","31/01/2022 20:19","peduliLindugi terbaik"
"Ahmad Rifai","1","31/01/2022 20:09","Halo pedulilindungi, sy sudah vaksin 2 kali pada tanggal 31 Juli dan 28 Agustus 2021, dan pada sampai saat ini sertifikat vaksin belum sy terima pada aplikasi tersebut. Bagaimana ini aplikasi nya, sedangkan data-data yg dimasukkan semua nya benar. Mohon solusi nya, sudah hampir setengah tahun sertifikat vaksin sy tidak ada."
"Rovi Revott","1","31/01/2022 19:39","Kenapa sudah di perbarui malah jadi gabisa di pake. Keluar keluar sendiri terus?"
"Meis17 Rawis","5","31/01/2022 19:25","Dengan peduli lindungi, saya dipermudah memasuki area publik"
"Rohman Rohman","4","31/01/2022 19:13","Kerenlah"
"Abdul Wahid","5","31/01/2022 19:11","Luar Biasa"
"mulyani heru","5","31/01/2022 19:09","Peduli lindungi ad cara terbaik dan untuk mengetahui hasil apakah kita sudah mendapatkan vaksin atau belun dan sdh dapat yang keberapa . Juga untuk keperluan data bepergian. Karena bisa di cek melalui peduli lindungi"
"Dewi Gumilang","4","31/01/2022 19:09","Hadeuuu sampe kapannn ini tiap kemana mana kudu scan barcode??"
"Dimas Plenyek","1","31/01/2022 19:03","tiwas download aplikasi peduli lindungi, lakok ra enek seng peduli blas."
"Divan Arya Asaddin","1","31/01/2022 18:26","Sdh vakskn, tapi sertifikat tdk keluar"
"Adnan Baraba KETUA LBH-PETA BEKASI RAYA","5","31/01/2022 18:25","Mantap"
"Arnas Manne","5","31/01/2022 18:20","Ok"
"Robert Tasiam","4","31/01/2022 18:03","Berkat perlindungan TUHAN YANG MAHA KUASA SEHAT Dengan Vaksina 1 dan ke 2."
"Abah anom Akusbini","4","31/01/2022 17:39","Suka loading Mulu lama buka nya"
"Rahmat hidayat","5","31/01/2022 17:37","bagus"
"ratna samping","5","31/01/2022 17:37","Aplikasinya bagus sangat membantu"
"Tasripin Pdi","5","31/01/2022 17:25","Mantap sekali , sangat membantu melancarkan aktifitas"
"Sembilan Lima","4","31/01/2022 17:24","Mohon bantuan nya saya mau daftar vaksin pertama kali nya tetapi untuk daftar di pedulilindungi ini nik saya kata nya tidak valid, gimana cerita nya"
"Riski Nasution","1","31/01/2022 17:18","Kaga berguna"
"Alif Barus","2","31/01/2022 17:03","Tidak bisa dibuka,mohon ditindak lanjutkan pihak peduli lindungi!"
"Muhtar Rosidi","2","31/01/2022 16:53","Mohon bantuany,d buka kluar lgi gk bisa masuk.kartu vaksin sya udh hilng"
"Irsan Ihsani Muslim","5","31/01/2022 16:52","Alhamdulillah setelah update sertifikat vaksin sudah muncul di applikasi yang sebelumnya tidak muncul. Terimakasih"
"Nadine Kaawoan","5","31/01/2022 16:44","Mantullll"
"Agus ria Putri","1","31/01/2022 16:38","Kok saya nggak bisa klaim sertifikat saya ? Jelek banget aplikasi nya"
"mukhlisin aja","5","31/01/2022 16:35","Ok"
"Ari Rahayu79","1","31/01/2022 16:34","Sulit masuknya"
"RADEN SUMANTRI","1","31/01/2022 16:34","Tolong di bantu aplikasi selalu berhenti"
"Bima Atma","1","31/01/2022 16:29","Mohon perbaharui cara pengisian tgl lahir, harus klik berapa ratus x untuk tahun 60 an, masa gak bisa dibuat system yg lebih gampang,"
"Nova Saputra","5","31/01/2022 16:26","Kenapa gak bisa di buka"
"Tatang Cimanggu","1","31/01/2022 16:19","Apikasi gk guna"
"Upie Vespa","5","31/01/2022 16:13","Oke"
"Santi Aza","1","31/01/2022 16:11","Ok banget"
"M Adnan .M Said","5","31/01/2022 16:03","Keren"
"Ari gacoloco","5","31/01/2022 16:02","Membantu sekali"
"Tarkim Sindupati","5","31/01/2022 15:59","Good"
"Lungha Slebes","5","31/01/2022 15:55","Sangat berguna buat sy aplikasi ini sangat bagus dan berkuwalitas"
"DedenKMS Deden123","1","31/01/2022 15:51","Gue udah di vaksin tapi kaga ada sertivikatnya mohoh di per jelas"
"Muhammad Sohirin","5","31/01/2022 15:51","Semoga lancar dan mudah Amin"
"Amel Amel","5","31/01/2022 15:49","Bagus"
"marwan jameran purba","5","31/01/2022 15:34","Sangat membantu"
"Riki Rama jaya","1","31/01/2022 15:22","Assalamualaikum, ini knp aplikasinya udah saya download, terus saya masukkan email dan nomor telepon saya tapi knp gk masuk masuk"
"nascam renon","1","31/01/2022 15:15","Kok daftar ga bisa sih ?"
"Jeco Gilbert jona brylian","5","31/01/2022 15:14","Good"
"Inaldy Rescuer","5","31/01/2022 15:11","Ok mantap"
"burhanuddin Mr","5","31/01/2022 15:09","Aplikasi ini sangat membantu sy dlm banyak hal terkait vaksinasi"
"Uel Ray","5","31/01/2022 15:06","Mantap"
"Jamil amak ratow","5","31/01/2022 15:05","joss, tp blm bisa download"
"Asyifa 123","5","31/01/2022 15:01","Jos"
"KELAS ENJOY","1","31/01/2022 14:57","Pp"
"Ajat Sudrajat Yakub","5","31/01/2022 14:54","Sangat bagus untuk mengontrol kesehatan masyarakat .."
"FX Danny 2ni","1","31/01/2022 14:51","Kesulitan memilih tgl dan tahun"
"Endang Hadiyanti","5","31/01/2022 14:47","Good"
"Sunarto Gathe","5","31/01/2022 14:39","Mantuull"
"Abdul Kadir","5","31/01/2022 14:39","Ok"
"Al Vianto","1","31/01/2022 14:39","Ok"
"Endah Supeni","5","31/01/2022 14:37","Bagus sekali"
"Fendi Fendi","4","31/01/2022 14:36","Ok. Lebih membantu"
"Boi Taripar Rumaijuk","5","31/01/2022 14:30","Perlu"
"orang biasa","2","31/01/2022 14:27","dah di apgred ko keluar2 terus gk bisa buka..."
"Dar Yanto","4","31/01/2022 14:23","Baik infonya"
"Asep Septiadi","5","31/01/2022 14:23","Bagus"
"J.A Siregar","5","31/01/2022 14:22","Berikan cara sederhana utk daftar pedulilindungi bagi kami Lansia terimakasih"
"Steve Albert","5","31/01/2022 14:07","Membantu"
"Ahmad Bolang","5","31/01/2022 14:05","ALUS PISAN ???????????? Mun Eweuh Aplikasi Ieu Urang Moal Bisa Balanja Ka Eumol ??????????"
"Albi Ahmad","5","31/01/2022 14:04","Ok"
"Muhamad ali Ali","5","31/01/2022 14:03","Sangat membantu"
"Riemond Prawiro","5","31/01/2022 13:59","Tanggal Mundur, untuk input Tanggal Lahir Saya Sangat Menyusahkan Pengguna Aplikasi Ini, Wajib Mundur Per Bulan GILA, GILA... Saya Tahun Lahir 1987 - Bayangkan Harus Mundur Per Bulan, Dari Tahun Sekarang 2022 BAYANGKAN GILA GAAAAAA!!!!!!!!!! SUSAHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!!!!!!!!!"
"Ita Rusdiana","5","31/01/2022 13:57","Mohon bantuannya. Kenapa kolom untuk vaksin selanjutnya tidak muncul apa memang demikiam untuk apliksai yang sekarang. Karna untuk aplikasi yang dulu muncul. Mohon infonya"
"Juwanto to","5","31/01/2022 13:52","Ok"
"Daffa Alfarezi","1","31/01/2022 13:52","Saya sudah di vaksin...tapi sertifikat vaksin saya nggak keluar di apk mohon bantuannya"
"Mulia Yuliani","1","31/01/2022 13:47","Kok aku gk bisa download yaa"
"Zalea Evi","5","31/01/2022 13:46","Bagus"
"Yulia Asnawati","5","31/01/2022 13:46","baik"
"Sep's21","5","31/01/2022 13:45","Bagus"
"apri Yanto","5","31/01/2022 13:44","Oke"
"Syahputra Syahputra","5","31/01/2022 13:42","Mantap"
"Mineke Jodisaputri","5","31/01/2022 13:35","Sukses slalu"
"Deus","1","31/01/2022 13:34","Aplikasi busuk yang ga berguna.. Saya sudah vaksin kedua sejak jaman es, tapi ga pernah terupdate.. Buat login di tmpt2 wisata juga ga pernah lancar. Busuk lah pokoknya"
"Ibrahim Basarewan","5","31/01/2022 13:32","Oke"
"Lodra Sumbogo","5","31/01/2022 13:31","Saya sangat mendukung aplikasi ini"
"Raisha Kamila","2","31/01/2022 13:29","Error terus"
"Budi Purwanto","5","31/01/2022 13:27","Ok"
"udin lalok","5","31/01/2022 13:22","Mantap"
"R Prasetyo","1","31/01/2022 13:15","Mau ambil Seterfikat vaksin aja ribet susah amat. Padahal sebelum di update enak"
"Kirania Az Zahra","1","31/01/2022 13:14","Pemaksaan aj lu banggain"
"love my family","5","31/01/2022 13:10","oke banget"
"Joko Prasetyo","5","31/01/2022 13:06","Z,?? d,, xx, zaman,,,,,,,,,,, ,,??"
"Edwi Hariyatun","5","31/01/2022 13:01","KEREN BANG"
"Qori Ainun","5","31/01/2022 13:01","Mantappp"
"Agung palupi","5","31/01/2022 12:59","Good Excelent"
"Cinta Berduri","1","31/01/2022 12:57","aku udah vaksin pertama ko sertifikat ny gx keluar sih"
"Uma Alimuma","5","31/01/2022 12:56","sangat membantu"
"Aprianus Kombongan","5","31/01/2022 12:52","Mantap sangat membantu berpergian (bandara) tapi harusnya bisa validasi lewat aplikasi ini juga, tidak harus repot2 antri lagi dibandara."
"pria jenius","1","31/01/2022 12:51","Gak ada manfaatnya.. aplikasi sampah.. pemaksaan"
"eko kumari","5","31/01/2022 12:47","Sangat baik sekali."
"Wiwi Kurniawati","5","31/01/2022 12:45","Keren"
"Andika Silva","5","31/01/2022 12:45","Baik"
"Al Hanif Elektronik","5","31/01/2022 12:43","Klaim sertifikat vaksin lama kali entri tahun lahirnya...!?"
"Herger Juelli","5","31/01/2022 12:35","untuk kebaikan disiplin prokes wajib dipatuhi"
"Heri Kusuma","1","31/01/2022 12:31","Jgn banyak"" karna Ga bisa buka sertifikat vaksin"
"Ida Ajah","5","31/01/2022 12:29","Ok"
"Wahid Studio","4","31/01/2022 12:29","baik"
"Yoga Pangestu","5","31/01/2022 12:28","Good"
"Nopal Hafidz","1","31/01/2022 12:26","Asalamualaikum bpk/ibu kemenkes,,say minta bantuan nya ,,sya atas nma ,TRY HARIYANTO .udh mlkn vksin ke 1 ,dari tggl 30,12,2021,tp sampe sekrg blm jg mndptkn surt undngn yg ke 2 ,,mhon bntuan nya bpk.ibu yg sy hormty ."
"M.satrio Mentari","5","31/01/2022 12:26","Bagus"
"Resti Laia","5","31/01/2022 12:25","Good"
"Nizam Alfatah","4","31/01/2022 12:22","Lumayan membantu"
"087 Ahmad Syifaul aziz","1","31/01/2022 12:20","Ndk like karan kemunculan apk ini ada covid"
"ina solichin","5","31/01/2022 12:16","Keren & Terimakasih bnyk atas pelayanannya.. ????????"
"Lastri 123","1","31/01/2022 12:16","Lain kali jangan maksa bikin aplikasi :)"
"moechammad baidawie","5","31/01/2022 12:14","Mohon bantuannya,saat kami mau klaim sertifikat vaksin,selalu tidak bisa.sudah di coba berulang ulang kali.bagaimana solusinya..??? Mohon tanggapannya.sekian terimakasih"
"Wahyu Hidayat","1","31/01/2022 12:13","Ribet"
"Ni Putu Ayu Astiti Dewi","1","31/01/2022 12:05","aplikasi tidak berguna,sangat parah sekali masak saya mau bukak aplikasinya tidak bisa dan keluar sendiri gimana si niat gak si buat aplikasi????mau tak hapus tapi kewajiban sekolah menuntut untuk donlod apk gak guna ini??menuhin ruang penyimpanan aja.????????????????????????????????????????????"
"Muhammad Natsir","5","31/01/2022 11:59","e??????????Detzner?zXx xxxx xXxX ??sxxx c ??????"
"Joe Halen","5","31/01/2022 11:54","Aplikasi ini sangat membantu"
"Rini Astutik","5","31/01/2022 11:53","Sangat memuaskan"
"Citi Itik","1","31/01/2022 11:45","Saya kecewa padahal saya sdh vaksin dua kali tapi masih merah mohon perbaikan nya ya:("
"nurdin lumban raja","5","31/01/2022 11:42","Sangat membantu,terutama tiket vaksin,sertifikat vaksin maupun barcode."
"Captain PSYA","1","31/01/2022 11:36","kok punya saya tomorrow² truss sih gimana ini"
"Ima Nia","5","31/01/2022 11:29","Blm msh d download"
"Hariadi Eridiani","5","31/01/2022 11:28","Aplikasi ini lebih jelas"
"Andro Aldi","5","31/01/2022 11:27","bagus"
"Fatjri Astuti","1","31/01/2022 11:26","sial dh di update sertifikat tak keluar babi ni aplikasi"
"Ferko Bulan","5","31/01/2022 11:26","Baguss"
"Yunianto Purnawan","5","31/01/2022 11:22","Baik"
"Thomas Budi Prasetyo","1","31/01/2022 11:15","Perekonomian bangsa ini ga akan maju selama pake apk ini kalo mau kemana2.."
"holipah","5","31/01/2022 11:12","Peduli lindungn"
"Gustiawan","1","31/01/2022 11:08","Terpaksa download"
"Jibril Syah","5","31/01/2022 11:05","Aplikasi bagus"
"anggi putri","5","31/01/2022 11:01","Ok"
"Muhammad Akna","1","31/01/2022 11:01","Tolong untuk developer ditambahkan fitur login untuk anak anak, karena tidak semua yang menggunakan aplikasi ini sudah memiliki KTP, sehingga beberapa anak yang menggunakan fitur ini tidak bisa menggunakan fitur scan QR code, karena ketika memasukkan tanggal lahir dan NIk selalu error dengan alasan ""sesuaikan nama dan NIK anda dengan KTP"" Maka kami harus apa? Tolong developer ditambahkan fiturnya dulu, semoga bisa mencapai earing yang tinggi"
"Mori Ishikawa","5","31/01/2022 11:01","Lebih mudah diakses dimana mana"
"Eny Yuanawati","5","31/01/2022 11:00","Mudah difahami aplikasinya ."
"Irfan Anwar Giffary","1","31/01/2022 10:59","Aplikasi sulit"
"Mansyur Ca","5","31/01/2022 10:58","Bagus"
"erwin daus","5","31/01/2022 10:58","Best"
"Ida Bagus Anom Mudita","5","31/01/2022 10:57","lebih gampang utk vaksin"
"Jasa Pelayanan","5","31/01/2022 10:56","Ok"
"Uswatun Hasanah","5","31/01/2022 10:56","Bgus"
"Chicy Tawera","5","31/01/2022 10:54","Bik"
"Kadir Hasan","5","31/01/2022 10:51","Baik"
"Otorius Otong","1","31/01/2022 10:46","61xxx02)"
"Heri Cemong","2","31/01/2022 10:46","Hasil vaksin"
"Mika Rosadi","2","31/01/2022 10:43","azan abvbhva"
"Aroli Tafonao","5","31/01/2022 10:42","Cukup baik.."
"Melati Anindra","5","31/01/2022 10:40","Okelah"
"Adi joyo","5","31/01/2022 10:39","Mantab"
"Armand Mushaf ramadhan","5","31/01/2022 10:37","Akhirnya di update jugak,sesuai janji saya.saya akan kasih 5 bintang,sekali lagi terima kasih:)"
"ravi rakasiwi","5","31/01/2022 10:34","Lebih ditingkatkan update data"
"siswoyo d2","5","31/01/2022 10:33","istri saya vaksin boster di puskesmas kec krian, kab sidoarjo, jawa timur tgl 31 jan 2022, jam 09.30 satu jam sertifikat sudah terbit, trmksh"
"Abdul Latif","5","31/01/2022 10:32","Mantap"
"Luthfi Sjahid","5","31/01/2022 10:32","Ok"
"Raka Raya Andrian","5","31/01/2022 10:31","Good"
"IMAN UDIN","5","31/01/2022 10:28","Ok"
"Anzir Sh","1","31/01/2022 10:27","AQ"
"waris puspotajem","5","31/01/2022 10:20","Mantab"
"Darwin Anunu","5","31/01/2022 10:17","Oke"
"Arly Medina","5","31/01/2022 10:16","bagus banget, selama pakai tidak ada masalah mungkin yang masih bingung bisa dilengkapi dulu data dirinya"
"wan gant","4","31/01/2022 10:16","Sudah lengkap, tetapi masih belum mengerti penggunaan menu aplikasinya"
"Windyy Andriyanii","2","31/01/2022 10:16","s3wi"
"Andri Alafif","1","31/01/2022 10:10","Payaaahhh, buruuuuukkkk, lemoooott, lambaaatttt, aplikasi bodoooohhh"
"imron zakariya","1","31/01/2022 10:09","Max hy 99% lama sekali nunggu 100% payah deh"
"Imam Safi'i","5","31/01/2022 10:06","Sangat membantu"
"AGUS SUYONO","5","31/01/2022 10:06","Terima kasih"
"Tanjung Lumbantoruan","5","31/01/2022 10:03","Berfungsi untuk bepergian."
"Irwan Ato","5","31/01/2022 10:03","Bisa masuk mol"
"M. Rizhal Buamona","5","31/01/2022 10:03","Sangat bermanfaat"
"Muhamad Sodikin","1","31/01/2022 10:02","Aplikasi jelek pake bgt Lola"
"Budi Hendarto","5","31/01/2022 09:57","Mantap...sangat bermanfaat..."
"Suci Shara","5","31/01/2022 09:54","Best"
"tari tarai","1","31/01/2022 09:52","Ini gimana ya kok peduli lindungi tidak dapat dibuka padahal sudah di update?"
"Baltasar Riantoby","5","31/01/2022 09:41","Good"
"Dessy Can","1","31/01/2022 09:37","Akun saya bisa dipakai orang lain untuk chek in.. hari ini aplikasi saya dipakai orang untuk chek in di salah satu mall tempat saya vaksin.. Padahal saya di rumah .. apa mungkin akun saya bisa dipakai di 2 aplikasi berbeda HP ? Tapi tidak ada pemberitahuan kode otp atau apapun .. tolong diperbaiki system keamanannya .."
"ashar darius zain","5","31/01/2022 09:30","Sejak pertama instal bulan Desember 2021 selalu tampil ""lokasi buatan"", sudah bawa ke services resmi gak bisa juga, sehingga aplikasi selama ini tidak berfungsi, setelah di update tgl.31 januari 2022 aplikasi baru bisa dipakai. Semoga aplikasi terus berfungsi lancar... Tks"
"Supri Yati","5","31/01/2022 09:27","Belum ada"
"Heei","5","31/01/2022 09:22","Males ah vaksin gk vaksin ttp aja indonesia gini gini kbayakan bisnis"
"rugun Simanungkalit","5","31/01/2022 09:21","Good"
"Roy Solisa","5","31/01/2022 09:18","Sangat membantu seluruh masyarakat"
"Lukas Sudiyanto","4","31/01/2022 09:18","Dalam waktu singkat belum 1 jam vaksin sudah muncul hasilnya, cuma pernah 1 x mengakses tidak muncul hasilnya."
"Wage Hartono","5","31/01/2022 09:16","Bagus dan valid"
"Rufina Sedang","5","31/01/2022 09:13","Siiip"
"Aldi adiansyah","1","31/01/2022 09:12","Ga bisa di buka"
"Rahmi Tia","5","31/01/2022 09:12","Bagus"
"nuari Nurul","1","31/01/2022 09:11","Kiraen saya saja yg mengeluh.Saya yg kel.90 aja cape geser2 tahun nya apalagi yg dah lansia kasihan. Semoga segera diperbaiki"
"Septiana Yusnia","1","31/01/2022 09:10","Selamat siang bapak/ibu .. Mohon maaf ini kenapa yah abis pembaruan malah jadi ngga bisa buka peduli lindungi nya langsung tiba"" keluar sendiri mohon untuk ditindak lanjuti"
"Yulianus Juli","5","31/01/2022 09:10","Aplikasi ini sangat bermanfaat sekali, terimakasih semuanya atas pelayan yg di berikan melalui aplikasi PeduliLindungi"
"Dedi Junaedi","1","31/01/2022 09:10","Sertifikat vaksin saya tidak muncul di aplikasi, masih banyak ngaconyq"
"santo99Danangsw santo99","5","31/01/2022 09:05","Bagusss"
"Sarun Apandi","5","31/01/2022 09:01","Ppmh on"
"jasman Spd","4","31/01/2022 08:57","Aplikasi ini sangat penting bagi saya"
"dardiri geo","5","31/01/2022 08:57","Terimakasih atas balasannya semoga akan lebih mempermudah dalam layanan madyarakat secara luas"
"Valeria Irene","5","31/01/2022 08:54","ok"
"?&","1","31/01/2022 08:51","Daglog"
"Elfira Yeden","5","31/01/2022 08:50","Mantap"
"Onif Ghoy","2","31/01/2022 08:48","Hallo. Saya sudah berkali kali install dan uninstall aplikasi tetapi tetap saja akaes aplikasi tidak bisa terbuka atau tidak merespon. Bagaimana ya solusinya"
"Didik Sugianto","5","31/01/2022 08:47","Sangat membantu"
"Irone Mst.","4","31/01/2022 08:46","No Coment"
"Har Mini","5","31/01/2022 08:46","Bagus sangat membantu"
"Ari Sapto","1","31/01/2022 08:45","Buat pemerintah ,tolong kalo buat aplikasi kek gini mending kasih ke swasta aja . Kartu vaksinasi gw gak keluar . Lebih parahnya lagi ,hasil negatif tapi di PL positif."
"rambe Family","5","31/01/2022 08:45","Bagus"
"Agus Kowong","5","31/01/2022 08:44","??? l ???. Zz????????????? . Fom8 W????????????? tc A bccm .l"
"Yayat Yayat","5","31/01/2022 08:42","Terimakasih sangat bagus dan membantu"
"Sulthan Fakhri","5","31/01/2022 08:39","Mantap"
"Zeroo Twoo","5","31/01/2022 08:38","SELAMAT SORE PAK INI APKNYA BAGUS BANGET SAYA SUKA BINTANG 5 DARI SAYA"
"suaib satangke","5","31/01/2022 08:37","Sangat membantu ??"
"Sri Intan","5","31/01/2022 08:33","Bagus"
"Adi Sutikno","5","31/01/2022 08:33","Cepat tepat"
"wahyu eko","5","31/01/2022 08:33","Saya sudah bisa menggunakan aplikasi ini tanpa kendala,,, terima kasih"
"IP. Agus Pramana","5","31/01/2022 08:32","Setelah di update, malah ga bs ke buka,setalah apk di uninstall & download ulang, br bs kebuka.oke lah"
